1858500:  R.. 0x1e5ff
1861250:  R.v 0x00d68
1863125:  Rbv 0x00d69
1865000:  Rbv 0x00d6a
1866875:  Rbv 0x00d6b
1870625:  R.. 0x0d670
1873500:  R.. 0x157d9
1876250:  R.v 0x00d6c
1878125:  Rbv 0x00d6d
1880000:  Rbv 0x00d6e
1882000:  Rbv 0x00d6f
1885750:  R.. 0x0d674
1888500:  R.. 0x157da
1891375:  R.v 0x00d70
1893250:  Rbv 0x00d71
1895125:  Rbv 0x00d72
1897000:  Rbv 0x00d73
1900750:  R.. 0x0d678
1906375:  R.v 0x00d74
1908250:  Rbv 0x00d75
1910125:  Rbv 0x00d76
1912000:  Rbv 0x00d77
1915750:  R.. 0x0d67c
1918500:  R.. 0x0e6ff
1921375:  R.v 0x00d78
1923250:  Rbv 0x00d79
1925125:  Rbv 0x00d7a
1927000:  Rbv 0x00d7b
1930750:  R.. 0x1ffff
1933625:  R.. 0x157db
1936375:  R.v 0x00d7c
1938250:  Rbv 0x00d7d
1940125:  Rbv 0x00d7e
1942000:  Rbv 0x00d7f
1945750:  R.. 0x0d644
1947625:  Rb. 0x0d645
1949500:  Rb. 0x0d646
1951875:  R.. 0x0d600
1953750:  Rb. 0x0d601
1955625:  Rb. 0x0d602
1958000:  R.. 0x157dc
1960750:  R.. 0x0da2a
1962625:  Rb. 0x0da3a
1965500:  R.. 0x0d51a
1968250:  R.. 0x0d80a
1970125:  Rb. 0x0d81a
1973000:  R.. 0x0d40a
1976750:  R.. 0x0d600
1979125:  Rb. 0x0d601
1981500:  Rb. 0x0d602
1983750:  R.. 0x0d600
1985625:  Rb. 0x0d601
1987500:  Rb. 0x0d602
1989875:  R.. 0x157dd
1992750:  R.. 0x0d80a
1994625:  Rb. 0x0d81a
1997375:  R.. 0x0d40a
2000250:  R.. 0x0d80a
2002125:  Rb. 0x0d81a
2004875:  R.. 0x0d40a
2007750:  R.. 0x0d600
2009625:  Rb. 0x0d601
2011500:  Rb. 0x0d602
2013875:  R.. 0x0d600
2015750:  Rb. 0x0d601
2017625:  Rb. 0x0d602
2020000:  R.. 0x157de
2022750:  R.. 0x0d80a
2024625:  Rb. 0x0d81a
2027375:  R.. 0x0d40a
2030250:  R.. 0x0d80a
2032125:  Rb. 0x0d81a
2034875:  R.. 0x0d40a
2037750:  R.. 0x0d600
2039625:  Rb. 0x0d601
2041500:  Rb. 0x0d602
2043875:  R.. 0x0d600
2045750:  Rb. 0x0d601
2047625:  Rb. 0x0d602
2052750:  R.. 0x0d80a
2054625:  Rb. 0x0d81a
2057375:  R.. 0x0d40a
2060250:  R.. 0x0d80a
2062125:  Rb. 0x0d81a
2064875:  R.. 0x0d40a
2082750:  R.. 0x157df
2092125:  R.. 0x0d600
2097750:  R.. 0x1ffff
2099625:  Rb. 0x1ffff
2101500:  Rb. 0x1ffff
2103375:  Rb. 0x1ffff
2107125:  R.. 0x0d604
2112750:  R.v 0x00d80
2114625:  Rbv 0x00d81
2116500:  Rbv 0x00d82
2118375:  Rbv 0x00d83
2122000:  R.. 0x0d608
2124875:  R.. 0x157e0
2127625:  R.v 0x00d84
2129500:  Rbv 0x00d85
2131375:  Rbv 0x00d86
2133250:  Rbv 0x00d87
2137000:  R.. 0x0d60c
2139875:  R.. 0x1e7ff
2142625:  R.v 0x00d88
2144500:  Rbv 0x00d89
2146375:  Rbv 0x00d8a
2148250:  Rbv 0x00d8b
2152000:  R.. 0x0d610
2154875:  R.. 0x157e1
2157625:  R.v 0x00d8c
2159500:  Rbv 0x00d8d
2161375:  Rbv 0x00d8e
2163250:  Rbv 0x00d8f
2167000:  R.. 0x0d614
2172625:  R.v 0x00d90
2174500:  Rbv 0x00d91
2176375:  Rbv 0x00d92
2178250:  Rbv 0x00d93
2182000:  R.. 0x0d618
2187625:  R.v 0x00d94
2189500:  Rbv 0x00d95
2191375:  Rbv 0x00d96
2193250:  Rbv 0x00d97
2197000:  R.. 0x0d61c
2199750:  R.. 0x0e8ff
2202625:  R.v 0x00d98
2204500:  Rbv 0x00d99
2206375:  Rbv 0x00d9a
2208250:  Rbv 0x00d9b
2212000:  R.. 0x0d620
2214875:  R.. 0x157e2
2217625:  R.v 0x00d9c
2219500:  Rbv 0x00d9d
2221375:  Rbv 0x00d9e
2223250:  Rbv 0x00d9f
2227000:  R.. 0x0d624
2232625:  R.v 0x00da0
2234500:  Rbv 0x00da1
2236375:  Rbv 0x00da2
2238250:  Rbv 0x00da3
2242000:  R.. 0x0d628
2247625:  R.v 0x00da4
2249500:  Rbv 0x00da5
2251375:  Rbv 0x00da6
2253250:  Rbv 0x00da7
2257000:  R.. 0x0d62c
2259875:  R.. 0x1e9ff
2262625:  R.v 0x00da8
2264500:  Rbv 0x00da9
2266375:  Rbv 0x00daa
2268250:  Rbv 0x00dab
2272000:  R.. 0x0d630
2274875:  R.. 0x157e3
2277625:  R.v 0x00dac
2279500:  Rbv 0x00dad
2281375:  Rbv 0x00dae
2283250:  Rbv 0x00daf
2287000:  R.. 0x0d634
2289875:  R.. 0x157e4
2292625:  R.v 0x00db0
2294500:  Rbv 0x00db1
2296375:  Rbv 0x00db2
2298250:  Rbv 0x00db3
2302000:  R.. 0x0d638
2307625:  R.v 0x00db4
2309500:  Rbv 0x00db5
2311375:  Rbv 0x00db6
2313250:  Rbv 0x00db7
2317000:  R.. 0x0d63c
2319875:  R.. 0x0eaff
2322625:  R.v 0x00db8
2324500:  Rbv 0x00db9
2326375:  Rbv 0x00dba
2328250:  Rbv 0x00dbb
2332000:  R.. 0x0d640
2334875:  R.. 0x157e5
2337750:  R.v 0x00dbc
2339625:  Rbv 0x00dbd
2341500:  Rbv 0x00dbe
2343375:  Rbv 0x00dbf
2347125:  R.. 0x0d644
2352750:  R.v 0x00dc0
2354625:  Rbv 0x00dc1
2356500:  Rbv 0x00dc2
2358375:  Rbv 0x00dc3
2362125:  R.. 0x0d648
2365000:  R.. 0x157e6
2367750:  R.v 0x00dc4
2369625:  Rbv 0x00dc5
2371500:  Rbv 0x00dc6
2373375:  Rbv 0x00dc7
2377125:  R.. 0x0d64c
2380000:  R.. 0x1ebff
2382750:  R.v 0x00dc8
2384625:  Rbv 0x00dc9
2386500:  Rbv 0x00dca
2388375:  Rbv 0x00dcb
2392125:  R.. 0x0d650
2395000:  R.. 0x157e7
2397750:  R.v 0x00dcc
2399625:  Rbv 0x00dcd
2401500:  Rbv 0x00dce
2403375:  Rbv 0x00dcf
2407125:  R.. 0x0d654
2412750:  R.v 0x00dd0
2414625:  Rbv 0x00dd1
2416500:  Rbv 0x00dd2
2418500:  Rbv 0x00dd3
2422250:  R.. 0x0d658
2425000:  R.. 0x157e8
2427875:  R.v 0x00dd4
2429750:  Rbv 0x00dd5
2431625:  Rbv 0x00dd6
