# Reconstructed CPU request cycles (fit_2026.cc --trellis).
# Per capture: phi is the pin delay used, eps the per-edge tolerance.
# edge  t2 (/CSx rise, VDP cycles)  T (cycle the arbiter saw it)  slot (RAS granted)  dev
# dev = T - floor(t2 + phi), non-zero only for an edge that the
# tolerance let tip to the neighbouring cycle. Only captures whose
# reconstruction reproduced the .txt exactly are listed.

capture scr5-dispOff-stop-rdwrCpu-1g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.03026  eps 0.00000  edges 115  grants 113  pre-capture request no
  64   5316.467    5327     5372     0
  65   5388.052    5399     5420     0
  66   5459.368    5470     5488     0
  67   5709.977    5720     5740     0
  68   5781.428    5792     5812     0
  69   5853.012    5863     5892     0
  70   5924.329    5935     5956     0
  71   5996.046    6006     6028     0
  72   6067.496    6078     6100     0
  73   6139.081    6150     6172     0
  74   6210.663    6221     6244     0
  75   6282.114    6293     6316     0
  76   6353.564    6364     6380     0
  77   6425.281    6436     6452     0
  78   6496.732    6507     6532     0
  79   6568.316    6579     6596     0
  80   6639.632    6650     6668     0
  81   6711.349    6722     6740     0
  82   6782.800    6793     6816     0
  83   6854.517    6865     6888     0
  84   6925.967    6936     6952     0
  85   6997.552    7008     7028     0
  86   7068.868    7079     7100     0
  87   7140.585    7151     7172     0
  88   7212.035    7222     7244     0
  89   7283.620    7294     7316     0
  90   7355.243    7366     7388     0
  91   7426.653    7437     7460     0
  92   7498.103    7508     7524    -1
  93   7569.820    7580     7596     0
  94   7641.271    7652     7668     0
  95   7712.855    7723     7740     0
  96   7784.172    7795     7812     0
  97   7855.889    7866     7884     0
  98   7927.339    7938     7956     0
  99   7999.056    8010     8028     0
 100   8070.506    8081     8108     0
 101   8142.091    8153     8174     0
 102   8213.407    8224     8240     0
 103   8285.124    8296     8312     0
 104   8356.574    8367     8388     0
 105   8428.159    8439     8460     0
 106   8499.742    8510     8532     0
 107   8750.085    8761     8780     0
 108   8821.535    8832     8852     0
 109   8893.120    8904     8924     0
